Dish,Description,Cuisine,Rating,Restaurants
Bak kut teh,pork rib soup made with a variety of Chinese herbs and spices.,Chinese,3.35,
Beef kway teow,"flat rice noodles stir-fried with beef, served dry or with soup.",Chinese,3.61,
Bak chang,"glutinous rice dumplings, usually filled with pork, mushrooms and stewed egg, steamed in bamboo leaves. Although it is Chinese in origin, it is also a favourite in Peranakan cuisine.",Chinese,3.17,
Bak Chor Mee,"egg noodles with minced pork, braised mushroom, pork meatball and other ingredients, served dry or in soup. Usually the flat, tape-like mee pok noodle is used.",Chinese,4.57,
Ban mian,"hand-made flat noodles served with vegetables, minced meat, sliced mushrooms, and an egg in an anchovy-based soup. Noodle variations are common. Ban mian refers to flat, long noodles; mee hoon kuay refers to flat, rectangular noodles; you mian refers to thin noodles.",Chinese,3.13,
Chai tow kway,"also known as char kway or carrot cake, is a dish of steamed radish/daikon cakes diced and stir-fried with garlic, egg, chopped preserved radish, and sometimes with shrimp. This dish comes in black (fried with sweet dark soy sauce) or white (fried into an omelette) versions, with a chilli paste sometimes added.",Chinese,4.15,
Char kway teow,"thick, flat rice noodles stir-fried in dark soy sauce with shrimp, eggs, beansprouts, fish cake, cockles, green leafy vegetables, Chinese sausage and fried cubes of lard.",Chinese,3.04,
Char siu,"also romanised cha-su, cha siu, cha sio, caa siu and char siew, is barbecued pork in Cantonese cuisine.",Chinese,4.58,
Chicken noodles,an egg noodle dish with diced chicken meat.,Chinese,4.21,
Chwee kueh,a type of steamed rice cake served with preserved radish.,Chinese,4.55,
Crab bee hoon,a rice vermicelli dish served with whole mud crab. It may be served dry or in soup and sometimes in a claypot.,Chinese,4.67,
Drunken prawns,prawns cooked with rice wine.,Chinese,4.11,
Duck rice,"braised duck served with rice cooked with yam and shrimp. It can be served simply with white rice and a thick dark sauce, or with braised hard-boiled eggs, preserved salted vegetables, and hard bean curd (tau kua) on the side. Teochew boneless duck rice is a similar, but a more refined dish. The duck is deboned and sliced thinly, allowing the sauces to seep into the meat. Roasted duck rice is also commonly sold.",Chinese,3.16,
Fish ball noodles,"similar to bak chor mee, except that fish balls are used instead of minced pork.",Chinese,3.57,
Fish soup bee hoon,a Singaporean soup-based served hot with bee hoon.,Chinese,4.07,
Frog Leg porridge,"is served with frog legs, scallion, ginger and thick black sauce in a claypot with porridge in another claypot.",Chinese,3.13,
Hae mee,"stir-fried prawn noodles cooked in a broth made from prawn heads and pork bones, topped with ingredients such as prawns, sliced pork belly, squid, egg, lard, and served with sambal chilli and lime at the side.",Chinese,4.48,
